Sentiment,Tweets
1,omg sure looks like pompeo is enjoying his new job looks like hes put on about lb or more and its really disgusting! you need to go on a diet pompeo before you die of a heart attack at a young age! but thats not what i wanted to say it is sickening 
0,@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! 
1,"im back! & more importantly so is the bread-
-classic ciabatta Â£ 
-rustic sour Â£ 
-pain au levain Â£ 
reserve and collect by facebookemail or stop buy from pm on thursday
thanks ian"
1, how would you die in my sleep
1,because its not just about reaching out to us its a lot about him talking about his fears to his wants that distended reality between not knowing if you want to live or give up when you dont know if you have the energy to fight when all you want to do is cry and be held
0,http://tr.im/imwb &lt;- ?i mï¿½y bay nï¿½n ng?i ch? nï¿½o ?? lï¿½c r?i thï¿½ c? h?i s?ng lï¿½ cao nh?t? 
1,i had a trip to vegas and a good friend called me during my trip he told me he wanted to take his own life and i stopped what i was doing to talk him down please be aware of those who are hurting
0,@sharonhayes  Thanks again!
0,@donniewahlberg hell yeah! there's the effin man! 
1,you know when life hits you hard and about knocks you the fuck out thatâ€™s me rn like just take me world wtf is this shit iâ€™m so exhausted so fucking exhausted i just want it all to disappear
1, prove it show that these books will make anyone succeed at what they want! you say nonsense to get ppl to buy then you disappear ppl should sue you for these crazy promises
1," always rachel always i have everything i need for residency now a code a contract a home friends & family i love teaching & im going to teach piano again too
i was suffocating in the uks current climate & at points i just wanted to die but my life is here now & safe "
0,@stevenliemberg you should make a good morning train trip with tea and salty pretzels 
0,another day another dollar right?  i just gota be positive haha
1, see my problem is itâ€™s not even the dumbest wrestling question iâ€™ve seen this month i hate my life 
1,slack doesnâ€™t have end-to-end encryption because your boss doesnâ€™t want it via 
0,@AriesGirl40 Your cousin was a yankee? Eww... he's gross 
1,but a huge part of me not actually committing suicide was the thought of hurting even one person with my death making me want to not go through with it even now i cant even conceptualize killing myself without the thought of one person watching the local news and seeing
0,@TerryFree Thanks.    Appreciate that....
0,"@jaredleto Yeah...Here is 1 vegan  P.S. Jared, you are one of the greatest artist of all time !"
1,the jobs changed that much iâ€™ve actually forgot to love it itâ€™s became routine just something i have to do instead of want to do i donâ€™t wake up with same feeling as i did a few years ago very oddly wouldnâ€™t put myself into any other career but may need to debate that soon
0,@colorofviolence yay  i'm happy for you guys....now hurry up and spit out the next one 
1,is that awful inventory menu still in i was looking forward to forsaken shores but i cant even bring myself to start up the game from alpha testing to pirate legend this game was fun its a shame the game had to kill itself
0,And HELLO to you all! 
1, mls why not both stop being disrespectful the the stl wallet if teams are competitive well support all and i dont live there anymore i used to fly home for rams blues and cards playoff games stl is sports gangsta
1,itâ€™s hard to differentiate which trump admin news coverage reflects policies that are meant to be realsubstantive vs those that are diversions from the quieter policies leaders donâ€™t want to receive resistance on chaos shouldnâ€™t be a leadership style but itâ€™s gone viral
0,"going to bed soon.  finally! i was talkin with one of my best friends, myla.  i haven't had good girl-talk in a LONG time!  fun-fun."
0,cant wait to do ma hair 
1,"comics thats what were trying to avoid! spouse creature has an entire outline written so we know our end goal and how well get there 

my first webcomic definitely died out due to not knowing worklife balance and i dont want that to happen with this one"
0,@MidLifeCrunch strange your page is just like our company 
1,"to my happy pill 

thank you for making my life is much worthless much smoothness weve even through alot ups & downs but you still been there for ily in bottom of my heart"
0,*honestly* jus went to a random page on Myspace &amp; they had my song on their profile!  that shit was random but jus makes me work harder!
0,What a beautiful morning ! Shame im not home sleeping through it 
0,so follow @tonyhawk. he's the coolest 
1,someday soon ill take my own life
0,"is kicking back with a beer and watching, of all things, a tacky chick flick...eh....we gotta do it now and then  "
0,@Westneyrhindxx hello westney  what are you doing ?? x
0,"There are a lot of new ideas I want to write down, now.  *excited."
0,@nicnina www.tolicesdoorkut.com e ria um pouco 
0,"@efng   &quot;Now, if we only had a wheelbarrow...&quot;  "
1, what a shit show waiting for you & mueller to finally end this nightmare! and special thanks to ms daniels ðŸ’–
1,this pervert has crossed all the limits he dont want this marriage he just wants to sleep with ishika ðŸ¤¢ getting engaged and he thinks he has a chance chi yuck ew! sadly people likes this even exist in real i am glad ishika said no she is being lust so sick way roop 
1,mi i would be ready to die if the eagles did that shit lmao
1,i wish my life would just end so i stop being a burden unto people
1,iâ€™ll only take my life more srsly when ksoo n cheol make their own igs
1,i donâ€™t want to be here anymore bro
1, oh youre alone and broke join the club youre not special everyone has different things that make them suicidal why is it a joke that mines being called gross and yours isnt oh right fan
0,@matswife Yes you do have followers...12 of them! That's gotten at least one person into serious trouble 
1,also some of the people saying they want smurf out but your accepting lower mid table finishes so he will just stick at that budget to achieve that finish every season i actually give up with this club pvfc
1,iâ€™m high above that water iâ€™m far from drowning catch me about three months ago well thatâ€™s a different story
0,Ooh. SnowboardLite is such a fun app. 
0,@markress Mucvhly welcome. 
1,iâ€™m drowning in due dates & exams & i hate this time of year
1,im drowning
1,"im done with people who only remember i exist when they are bored or need attention im not going through this again

let me tell you this again if you want to keep me in your life make the fucking effort and dont pretend to care just because youre bored!"
1, iâ€™m torn i see the point about the labor shortage but in the end donâ€™t want japan to lose its culture and what makes it special i see how the service quality at many conbinis have gone down in the past years w all the foreign workers also ginza has completely changed
0,@dmcar I still wear the bottoms of my trousers rolled 
0,"A three day week! Oh, if every working week was three days! "
1,"i hate myself
hate to be loved
hate breaking hearts"
0,"@la_oof Hmm, for that, I would need to know what a splash page was   The graphic on the first page is a vector  of an old TLR.  That it?"
1,somebody figured out they were going to force me to do this in advance and theyâ€™ve been laying the groundwork to make it look as dumb as possible and i really donâ€™t know what else to say i just want this to be over thank you for your time
1," if it was an ""accidental killing"" as they want us to believe why would they make the body disappear without a trace"
1,it has to happen i need to end the year accomplishing my goal in life
0,@kari_shma http://www.pharmaeffects.com/2008/12/red-bull-the-risks-and-side-effects/ this link is for you. Mind checking it out a bit? 
0,@islandcubfree but of course bud 
1,i wish i could just fall asleep but im too hungry to even do that 
1, iâ€™m older and a disabled veteran who canâ€™t work anymore and itâ€™s horrible i do remember i worked way too hard and constantly doing something home i didnâ€™t have too many instances where i would have the time for this idiotic betty crocker bull crap
1, you guys i wanna say thankyou for bringing happiness and come into my life remember sijeunie and me ofc always sending positive energy and willing to support yall until the end!!!!!
0,almost time to go home.  Parent/Teacher interviews tonight.  Should be good 
0,"@bigbelbess aha, just beat you to that, minus the ska though, may just indulge "
0,@benhamin thank you 
0,"welp, bedtime for me guys. night "
0,"@saamanthajaane believe me, it's the only way to get it finnished "
1,if a friend of yours were to disappear for five years would you still want to hang-out with them when they come back
0,http://www.youtube.com/watch?v=nrlSkU0TFLs - link again - should work this time 
0,@nathanrdotca I think if I click the word &quot;reply&quot; it gives me a new window of what you're replying to. I'll do that now. 
0,@mileycyrus http://twitpic.com/2y606 - Omg she is such a cutie! 
1,im begging to please bring back purplesaurus rex for a limited time again or to just like send me a bunch i have two packets left and i want it so bad but i dont want it to be gone! 
0,"I'm at the Trovus Tuesday breakfast, currently doing the meet an greet thing  http://www.trovus.co.uk/"
0,"well in that case, you know what i mean, hahaha i love a good...whatever role you decide to take on. "
1, the slightest thought of him possibly reading my lame ass fangirl drivel gushing is way too embarrassing i would need to crawl in a hole and die also im looking for pics of hyo and when you google him its only scandal it really pisses me off 
1,i canâ€™t take the song sandstorm by darude seriously anymore ever since fun with dick and jane ruined it for me 
1, same here the libre tester is really helpful i dwcided i needed to stop being an idiot and slowly killing myself and feeling sorry for myself the last week has been better that the last years 
0,@YoYo_Ma lol!  Isn't it past your bedtime? It is for me. See you tomorrow!  
0,I'm off today... Yay!!! 
0,@Specialesumpen a good (very drunk) friend did exactly that at a party once ... It never ends 
0,on my psp browser for the first time in over a year 
1, dr norman lamb norfolk uk â€œi donâ€™t want to live in a world where those who can pay for treatment for mental ill health do and those who canâ€™t sufferâ€
1,"â€œwant to know when youâ€™re going to die your life span is written in your dna and weâ€™re learning to read the codeâ€ itâ€™s like a less specific but more accurate palm reading but also in the end it really doesnâ€™t matter to know does it
"
0,@Llawen Thank you Cal!  Always sunny in Wales? lol Yes the people maybe but certainly not the weather!
0,@jethron5000 hahah yeah see i told you! coffee bean's chocolate ice blended is way better! let me know how's the show tonight 
1,"so i just realized its october & s of therundown with hasnt premiered yet 
are ðŸ‘ðŸ» you ðŸ‘ðŸ»kidding ðŸ‘ðŸ» me ðŸ‘ðŸ» ðŸ‘ðŸ» 
you cancelled what the hell is wrong with you
can some smart network give this talented woman a show thatll go past s "
0,@boomerjack coffee is always welcome  good morning - how're things on your side of the map?
0,@JennaMadison ur tune in! cool beans yay! Rock n roll Train and Thunderstruck back to back! 
0,@OfficialPRofOZ just a gentle reminder my dear 
1,i donâ€™t want to be here anymore ðŸ”«
1, oh yeah sure life is so linear itâ€™s like saying hrc prostituted her values & the country to the highest bidder so if you supported her you were complicit in her festering corruption & ur voice is worthless thereâ€™s so much silly mud to throw around like this
0,im watching stomp the yard  mann i love that movie :]
0,@soondee_chua ah! it's not just me then... there was a problem.  Wonder what caused it! 
0,everyone follow kade 
1,donâ€™t tell me you think if i was born with silver plate itâ€™s mean iâ€™m worthless
1,when all you want is your bestie back! feeling numb that your gone and iâ€™m here trying to not be mad at what you did! i donâ€™t cry anymore unless itâ€™s when i think of you! - - 
1,being a film director is hard af i wanna die i still have papers to make but i need to be really hands on for this film
0,"@beycah Good for you Becca, have a good sleep. "
1,guys!!! donâ€™t just tweet reneweverythingsucks keep watching the show on netflix so it can get more views if you really want the show to be saved watch it over and over again
0,"@landrew Hehe, thanks   Was going for the incendiary headline this time "
0,@KinokuniyaAust YAYYY! I shall have to buy when I come for the City of Glass bookclub thing 
0,@stacylav Then I'll you a Vancooooooover shout out to your new &quot;personal&quot; account. 
0,@Thehodge that is pretty awesome! it makes me want a smart car now!  (and a cup of tea) 
0,just been 4 a walk...... love it    but is now hungry
1,"gop candidates now dead even with democrats in most competitive house races


looks like the liberal media are beginning to correct their skued polling as we get closer to election day dont want to be embarrassed twice in a row honesty from here on out"
0,"Followers, The More The Merrier! "
1,i want my damn self to disappear
1, understand the deep pain and anguish that common christians feel this is a deep rooted eco system cultivated over years its time more people open up and speak without fear of repercussions church is not the be all end all god is
1,"i think part of the reason why i dont go to gigs anymore as much as i want to go to see friends and to support the bands is that i havent been myself in months

i wouldnt know how to be around people anymore i wouldnt know how the unfortunately new me would respond"
0,"trying to find something formal to wear in a casual closet, jeans and popculture shirt will do good enough. "
1,i dont feel my purpose is to make ppl believers i have many purposes n life but that aint one of them now if you choose to become a believer from something ive saiddone then that makes my heart smile but im not maneuvering with an end result of converting anybody in mind
1,rioâ€™s decided to lie down on my bad leg and itâ€™s killing me but i just canâ€™t bring myself to move him 
0,@ DwanB i ate filet american this morning  and i cant see your pic on mobile twitter
1," i get why gop doesnt want her to be speaker problem is w media that keeps asking the of democratic candidates like its some major issue ""lets not talk abt your ideas tell me would you vote for pelosi"" they dont ask who should be leader once ryans gone of gopers"
0,@Willie_Day26 i love you willie! 
1, all things good or bad eventually come to an end! just have to grin and bare it till then laughing and smiling is good for the heartðŸ¤£
0,Lol@ Shimmy being on H&amp;A again oh hai @meaghanellen 
1, theres so much truth and beauty in pain from beginning to end in the lyrics in the emotion in his voice and his face and actions in his videos it all drew me in ive always been a korn fanm but this no korn album lol
1,tbh i donâ€™t think iâ€™m eating healthily these days i have a meal a day which is dinner and i only drink a cup of neslo for breakfast if i wake up early if i wake up at + iâ€™ll not eat or drink whatâ€™s wrong with me
0,goodtimes with @brootalbrin @cameronlovesbbw &amp; nemo!    ---goodnight. oh and... DONT U EVER FUCKIN HIT ME UP FOR MONEY EVER AGAIN! lol
0,o.O hughesy live!!  Must investigate - at least i wouldn't be causing car accidents from radio laughter  *reminder set
1,bih if ever see your ass on crack imma kill you myself 
0,"@Shantymanfan I got your package! Wow, I'm so excited! My very own one! So, do I plant it in a pot for now, and water it till it grows? "
1,"aurora its more due to the fact that evans falling for him than anything else as much as i hate to admit it my eyes are used to blacks body by now 

but fine â€” ill be the one hurting myself as always"
0,@EivindJ I wish my dentist told me that. 
0,haven't been able to sleep at ALL. i think i'll watch Ugly Betty online. 
1,"if jfk jr really is still alive would be an excellent day to re-introduce him to the country and the world

a big problem for msm because jfk jr being a huge trump supporter is not a story they want to cover "
1,like if i said i wasnt at least a little bit attracted to l in the death note anime i would be lying through my teeth 
1,"financial planner asked at what age i wanted to retire

my response is ""i want to die at my desk my hands clinging to my keyboard""

that makes my retirement goals more manageable it seems "
0,"That's me and me friend. And I'm not drunk, just very tired  http://tinyurl.com/d5ymu2"
1,listening to this season of serial has been an exercise in forced anxiety we have to put an end to judicial and police corruption
0,@michaelgrainger Thank you thank you 
0,is feeling lighter today 
0,@Scyranth How sweet! Congrats to both of you 
0,@Tsarnick Heck yeah! Bullets is a reeeal oldie but goodie 
1,and yeah iâ€™m crying around on twitter cause i literally have nobody to talk to iâ€™m just really fucking hurt and sick to my stomach right now man chance after chance and i get taken for a fool once more i canâ€™t do this anymore
0,I now have 101 followers on twitter - spot that.  101th is &quot;Norfolk Matters&quot; with great local updates.  Welcome 
0,@JonathanRKnight A truly great place to eat is the Canteen in Ottumwa.  Loose meat hamburgers in a tiny cafe.  Everyone's friendly. 
1,this life isnâ€™t worth living 
0,@rashmid congratulations!! tht makes a lot of us very very happy. 
1,pence have any of u on this thread thought about the diseases these people could be bringing here ðŸ¤” they dont vaccinate like we do here! enough with paying illegals! let them make their country better! better yet yall who want to welcome them should move there ðŸ¤” votered 
1,i tripped up the stairs on the way to my lit midterm and it was so awkward in front of so many people i hate myself
1," mwahaha only now! d

but the fortuitousness of me seeing this tweet quickly enough to snag one makes me wonder if my card would say ""machine of death pin"" and this is the instigating event of my demise ðŸ’€"
0,"@enbaldarlingg No, that's just the mirror you're looking in. "
1,"obsession it is a gift and a curse lately more of a curse & that makes me want to hide cant give up so i am going to do things different & protect myself better traitortrump & maga arent worth taking those of us with good hearts down just because they dont have one 
resistancerises"
0,@nesarajah thankyou. That dig house made a few tweets ago makes sense now 
0,"At TC Beach Online(Kuantan(Malaysia)Macdonald's), Just Register Twitter ! Hello All The Twitter's !!! "
1, also i should point out that they are still over a thousand miles away and may never make it all the way to our borders this might end up being a moot point
1,i hate myself a little more everytime i answer the phones at work and mess up the greeting
0,@Gerry_Butler you should have a vote and i vote yes!!!!! going on broadway would be amazing 
0,@araza13 it could have been one of those miniatures 
0,@APES ya red is also nice but it's too salty for me. i'm a doritos monster b4. 
0,@benjamin_cook David Tennant is one extremely good looking man Ben. Enough to turn gay women straight 
1, not at all i donâ€™t regurgitate bs conspiracy theories so nope and furthermore youâ€™ve shown yourself to be nothing more than a trump ballboy living in an alternate reality who isnâ€™t worth another second of my time hope you can figure out this critical thought thing eventually
1,i couldâ€™ve been more enthusiastic but tbh few people i work with make me hate myself more than i could ever imagine that i canâ€™t be enthused
1,can someone fall in love with me already cause iâ€™m tired of being alone lol
0,@ryanjschmidt  happy to 'give the GEARS' to one @ryanjschmidt  
1, they are out in the open with their racism and theft they donâ€™t even bother to hide it anymore i hope i live long enough to see them all in jail
0,"@ddlovato , i lovee you  check out hermans hermits. old, but classic group  i got like 4 of their songs stuck in my head  reply? &lt;3"
1,"iâ€™ve thought about it long and hard and i really hate winter and donâ€™t want to live anywhere where thereâ€™s winter anymore iâ€™ve done of them and itâ€™s not taking 

now i just need to do something about it"
0,"@Chubbx Goooooood morning, Chubbx  how are you today?"
0,@jadmalala: thanks.  short na nga patience ko tapos dadagdag pa yung summer heat. just wanted to explode kanina.
0,3 days and I shall be blonde whoop 
0,@katehughes he has been like that for some time! there is also the paxman ! dont get me started 
0,God sho love him some me  feeling really really blessed tonight++++++
0,@_Flik_ You'll have to sweet talk her  make sure she knows you are a hard worker.
0,@joannayoung Sun shining here 
0,"The older theory was, marry an older man because they're more mature. But the new theory is men don't mature. Marry a younger one. "
0,And all I want to do in life is eat lollipops and Twitter. 
0,"What A Day  I Just Loved It. Sun, Food And My Girls  Cannot Be Beaten. Eyyy! I Bused It Home Tooo Hahaa. Have An Ace Time Darl.  xxxx"
0,@JoannaButler he should tell them that his sister fixed it 
1," because i dont want to be qwq
da kannste andy lyn oder marlene fragen die kÃ¶nnen dir das bestÃ¤tigen 
die sind in dem punkt leicht von mir abgefuckt"
1,hbk at very least we have to pretend shit matters to get us through before we die its very much in play that legit nothing matters but life isnt even worth living if we live it that way
1,kids i just want to say im so proud of you guys youve come so far these years and honestly i and many stays are so blessed to have you guys youve worked so hard to give us beautiful music when i watched the video i actually started crying please never give up your dreamsâ¤ï¸ 
1,theyre playing the original suspiria at my school this weekend and im crewing that night im just gonna kill myself !!!!
0,@rainbow_jo If you can do it in 140 characters..... 
0,i'm going to buy my slam dunk ticket today 
1,"really dont want to be here
sigh"
0,"george lopez is keeping me awake, my final tweet until i wake up "
1,theyre obsessive and paranoid i mean really they make me somehow hate my life
0,"@LouisGagliardi hahaha... shiiit, dont i feel like a douche bag =/ hehe! thx for the tips anyway  much appreciated!im glad to be different"
0,On the bus  it just got there as i got there lucky!
0,soup for dinner 
0,@enchris pretty good  There is always something to do around here i guess haha hows Padova???
1,"grannie harper was a fake conservative i voted against him in over then-bill-c now the highly illegal antiterrorism act

maxs votes were whipped at the time

the peoples party is the only party that promises to put an end to corporate welfare like this"
1,my life is crazy fucked up and i hope you can see past that and still want me in the end
0,@dalerankine You mean also in NZ and I should just stay at home in the rain? 
1,i miss you abah miss you so bad can you take me with you i dont like to live in here anymore
0,@Willie_Day26 why are you still up? 
0,Today was so great.  My roommate and I played some soccer and I also got a nice run in on this sunny day  Time for some reading and sleep.
0,Hi Rhian this is my first post on twitter so hope it works ok. My MBT's r fab - it's a pity I can't wear them 2 work. Hv a good day 
1,i hate myself iâ€™m bout to drop kick myself
1,do you ever just want to give up on everything and everyone bc same
0,"Salam Sami, Good luck. The best wishes for you  ws Esma"
0,i'll be in london today. Wave if you see me 
1,i dont want to live on this planet anymore 
0,"Hey check out my new blog, http://www.examiner.com/x-6143-Chicago-Enneagram-Examiner Learn about the Enneagram to land that great boss! "
0,Updating my grandmother's computer. Always fun stuff. 
0,@Rustyrockets check out our convo about you! lol Stop fighting it Russ I know you want to say something! 
0,@bulhaa gone. and it came back! 
0,@damygeebo Carli's my friend 
0,@mileycyrus http://twitpic.com/2y606 - GORGEOUS!!!  You just want to hug her!!! Bless! 
1, iâ€™m a die hard og fan of the original series and even know most lines of almost every single episode of charmed and i hated what they decided to do but regardless it turned out to be really good u people need to get over yourselves and this anger it wonâ€™t change anything
0,@ickleoriental hahahha.. U obviously don't hv one!! But maybe u can give me advice?  Fdw.. Foreign domestic worker 
1,winchester everything was going flawless for the chiefs accept for an unusual end zone drop by hill and a first field goal miss due to winds all in all an a plus thanks for bringing art intelligence joy and beauty to this sportitâ€™s awesome the team is loved and respected
0,the duel: road rules/ real world challenge looks goooooood 
0,Decisions - do I go see a psychobilly band or be good and see R? Probably good and R 
1, life is too short to not love and enjoy really hard your music definitely inspires positivity in my life youâ€™re just a great dude living his best life and i really appreciate it thank you for existing haha
1,another cost of poaching pain & slow death are not limited to the snared victim often dependent offspring like this little black rhino calf suffer as well the very lucky ones end up in a rescue sanctuary like oelofsesafaris poaching rhino blackrhino poachers 
0,WOKE UP 
0,Jon could totally say Mannies and Peddies and I would shut my fat face about it.  
0,@lwmedium  ? I need a box of tissues every show ? Luv it 
1,iams account has been withheld in india in response to a legal demand learn more
0,"@larry_david your material is inventive, intelligent and absolutely HILARIOUS --&gt; can't wait for the new season of Curb "
0,"@DaTruTopShotta www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!!  &amp; FOLLOW me , Cheers x  God Bless"
1, biden isnt in power anymore try again you clearly dont want to hold the people in power now accountable because youre a partisan and theyre on your team
0,Guess I am going to try and get a few hours sleep.... goodnight everyone and sweet dreams 
0,Sarcasm. Hits me every time as well 
1,will our country ever recover every day i wake up and within minutes iâ€™m exhausted! i canâ€™t take it anymore! iâ€™m too old for this! now the president claims heâ€™s a nationalist! if he really knows what nationalist means then this is really scary! wake up people!!!
0,...going for a four-mile night run....around the old B-52 bomber on Andersen.  gotta tape my ankles!
1,"mano
im feeling so worthless porra"
0,@film24 as long as it's not hot dogs... 
1, i get the satire but there are people who think just like that i dont want to live on this planet anymore 
1,tired of being home lonely all the time
1,"national debt in spain has got to a point where every single living spaniard now owes approximately â‚¬ 

the average yearly salary is â‚¬ before taxes 

just fyi"
0,my very first twitter  awww
0,"only a short day week for me this week, i was off yesterday and then i am off to Wales on Thurday night to do some long distance cycling "
0,Deciding if I should call it a night and wake up early to get into the studio. Or if I should just go all night. I like going all night 
0,@philthatremains totally jst started blasting ATR at 10am dude. My mom is gonna kill me. BUT WHO CARES! 
1,suicidal vibe ðŸ”‚
1,iâ€™m not suicidal but halloween episodes of sitcoms make me wish i was dead
0,its beginning to feel a lot like summer everywhere i go! 
0,@DanniAsheOnline Awwww she called me sexy  nice! you rock Danni! you just made my night gurl! muah! I'll give you props anytime! 
0,"@BabyMakinMachin LOL, yes it does! Iz that ur hubby? U 2 R gonna makes some v. v. cute babies! "
1,"this is heart breaking

selfishly roman reigns is the main guy i havent got to see wrestle live i dont care about that anymore i just want the man joe anoaÊ»i to get healthy again

prayforroman"
1,im dying to get to the point that reading for a living is actually a thing thats happening in my life im working on it but the living making is going to take a while
0,@FizzyDuck Five? Seems a little bit too late in the morning but what the hell ! 
0,congratulates WeenKee on two adorable little guineapig babies whose names @blackshtef is going to crowdsource... Right? 
0,Is about to go home 
1,one side of me wants to go out & get fucked up & the other side of me just want to sleep forever and never wake up 
1, keep on tweeting youtube is my life those eu rules and i am a eu citizen will lead to the end
0,@sdownes1972 thx Stu will do! 
1,you can be my sweet dreams or a beautiful nightmare neither way i donâ€™t want to wake up from you sweetdreams part 
1,been thinkin about what a ub game would be like and id want it to be kinda like how i play action games i go all melee combat and run up to monsters as i attack em over and over tanking attacks however i can whether through guarding or just taking the hit thats-
0,"studying for a test, designing 2 logos, starting on my final project, and playing with InDesign. totally happy "
1,"too many pleasure boats die silently in their winter beds but follow these easy tips and your boat will be ready and eager to go in the spring

we will give you daily diy tips to winterize your "
0,"@gas700girl excellent - the Twitterisation of everything continues apace, then "
0,http://www.zachleat.com/Projects/alarmd/ &lt;- my new very best friend (until I make one better   )
1,and im out there getting blocked at least times per day just bc i cursed yea i said fuck i said i wanted to die so what twitter miss me with that bullshit
0,@7EpicBloggers  WOOOT It's my turn to blogg! 
0,@ThE_ED uh oh you're in trouble 
0,"@spanx Happy Birthday, eat something good "
0,@Lesley_M If only you werent on the other side of the Ocean Hmmm I am looking for a job!  x
0,"@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH "
0,@katayy what do you think of Kelly clarkson? her new album has been pumping through my MP3 player for weeks now 
1,"rt if you want to be in a fedal gc iâ€™ll make it later after i finish work about hrs from now

- donâ€™t need to really stan fedal just respect my old men
- i actually just want friends
- here have some ice creamðŸ¦

if this doesnâ€™t get any rts just pretend i didnâ€™t post thisðŸ’€ "
1,anyone else feeling like they are useless and want to disappear from earth raise ur handsssss 
1,itâ€™s no one wants to live anymore
0,@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote 
0,hi Dianna ...this is so cool ... i just recently started twittering 
0,"@Schofe I hope when you cover twitter you'll do how the press are trying to hound celebs for their twitterings, re@Wossy &amp; @rustyrockets "
0,@imalexevans omfg you watch skins?! you're officially perfect! 
0,"Coming home  stoked bears this afternoon with mikeyj, Alton towers tomorrow."
0,@nicolerichie  I remember Anne of Green Gables - My sister and I used to watch it when we were younger! 
0,@lvesckmelody .......i  watched the previews that they've been playing way too much.... it looks really bad!! Stop watching it.   haha ...
1,i liked a video what if you donâ€™t want a woman to know where you live & why your ex stalks you on
0,"@una_avion2010 I knew it  hehe. I'm smart. And I know, I know. We musnt leave him out."
1,"sorry asking why do white working class voters still cling to the orangecancer is disingenuous the answer is and always has been racism cut it with this ""they want a wrecking ball"" nonsense they want a racist a self-proclaimed nationalist the end"
1,ce soir encore jai errÃ© dans la campagne ; lestomac vide qui me tiraille et mon corps affaibli qui me forcent Ã  de petits pas dÃ©nuÃ©s dÃ©quilibre le suicide me hante mais jai peur de souffrir davantage aprÃ¨s tant dannÃ©es de dÃ©pression
0,@apleaforaaron i could really eat some cheese  i have a hankering for some austrian smoked cheese. YUM!
0,@Mgpotter You're cute 
1,solution the previous tweet did not answer what is a binary question im assuming you either cant or wont answer for whatever reason on that basis your proposal is worthless as it lacks key details
1,this pain is so much i think the world would end if all women and girls on this earth connected their pain to a grid we wouldnt face that terror
0,@shipovalov &quot;NOKLA connecting people&quot; ?? ???????  ??????? 
0,Had an exceptional day...dont ya just luv it when everything goes smoothly... heaps done + luv when you follow the extra God promptings 
1,went to bed at iâ€™ve been wide awake since am what the hell is wrong with me 
0,@honeytech Happy Morning! 
1,same here since they have gone through ups and downs for about years the six great men i dont want anything bad or sickness to happen on them anymore my only wish is to keep them happy safe and healthy forever no matter what happens we will always be with themðŸ§¡ 
1, that is also a problem if it was pushed too hard on mining all day long it can shorten the life of the card by quite a lot
0,"@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have "
0,@Hollywood_Trey 
1, hahahah i hate myself i probably will
1," || dbz is cool confusing but cool

swatting away his hand todoroki scoffs

â€œenough bakugo i dont have the time to deal with you right now im hungry and im leaving to go get some sobaâ€

straightening his collar todoroki would make his way to the cafeteria "
1, there goes your general health eventually you will be purged there is no respect for anyone that isnâ€™t able bodied- mind body and soul your only purpose is to make the rich more money your life is worthless otherwise republicans are from the past - not the future
1,i hate the fact that i need to force myself out of someones life just to find my self worth
